scrape_id,host_id,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
20250600000000.0,339085327,1.0,1.0,,42.65567,-73.7854,4.0,1.0,3.0,3.0,1.0,1125,1.0,2.0,1125,1125,1.3,1125.0,,30,60,90,365,0.0,0.0,0.0,206,0.0,0,0.0,4.8,4.87,4.64,4.89,4.96,4.61,4.77,,1.0,1.0,0.0,0,1.84
20250600000000.0,649068,2.0,2.0,,42.63876,-73.78535,6.0,1.0,3.0,3.0,1.0,1125,1.0,2.0,1125,1125,1.3,1125.0,,20,40,70,223,115.0,19.0,2.0,160,14.0,114,11628.0,4.8,4.87,4.64,4.89,4.96,4.61,4.77,,1.0,1.0,0.0,0,1.84
20250600000000.0,272907816,2.0,6.0,,42.64453,-73.75426,4.0,1.0,2.0,2.0,2.0,29,1.0,3.0,29,29,2.2,29.0,,25,48,77,77,112.0,24.0,3.0,77,26.0,144,12528.0,4.83,4.88,4.8,4.91,4.91,4.54,4.84,,2.0,2.0,0.0,0,1.95
20250600000000.0,299638115,4.0,4.0,,42.65556,-73.76205,3.0,1.0,1.0,2.0,2.0,1080,2.0,3.0,365,1125,2.8,1091.7,,18,38,68,343,18.0,2.0,0.0,184,3.0,12,1368.0,4.94,5.0,4.94,4.72,4.94,4.72,4.83,,4.0,4.0,0.0,0,0.34
20250600000000.0,349460842,17.0,17.0,,42.66257,-73.78281,6.0,1.0,3.0,3.0,1.0,1125,1.0,1.0,1125,1125,1.0,1125.0,,0,0,0,0,131.0,15.0,0.0,0,24.0,90,20832.0,4.85,4.9,4.95,4.96,4.96,4.6,4.73,,17.0,4.0,0.0,0,2.18
20250600000000.0,232967878,24.0,5.0,,42.64383,-73.78926,6.0,1.0,3.0,3.0,2.0,1125,2.0,2.0,1125,1125,2.0,1125.0,,0,1,1,1,91.0,14.0,0.0,1,24.0,84,20832.0,4.91,4.9,4.91,4.95,4.93,4.81,4.78,,3.0,2.0,0.0,0,1.52
20250600000000.0,355777684,3.0,3.0,,42.65935,-73.76805,4.0,1.0,0.0,1.0,1.0,365,1.0,1.0,365,365,1.0,365.0,,17,28,51,318,13.5,31.0,2.0,159,41.0,186,18972.0,4.97,4.98,4.99,4.98,4.99,4.95,4.96,,3.0,3.0,0.0,0,1.2
20250600000000.0,355777684,3.0,3.0,,42.66006,-73.76966,4.0,1.0,1.0,2.0,1.0,1125,1.0,1.0,1125,1125,1.0,1125.0,,26,44,66,331,13.5,12.0,1.0,172,16.0,72,7416.0,4.99,4.98,4.99,4.98,5.0,4.98,4.97,,3.0,3.0,0.0,0,5.11
20250600000000.0,353498132,6.0,6.0,,42.64808,-73.7996,4.0,1.0,2.0,2.0,1.0,1125,1.0,2.0,1125,1125,1.3,1125.0,,0,0,0,266,26.0,3.0,0.0,108,4.0,78,11388.0,4.85,4.92,4.69,4.96,4.96,4.96,4.77,,6.0,6.0,0.0,0,0.45
20250600000000.0,362851072,1.0,1.0,,42.66132,-73.7956,3.0,1.0,1.0,1.0,1.0,365,1.0,1.0,365,365,1.0,365.0,,0,0,0,221,129.0,4.0,0.0,62,8.0,24,3168.0,4.95,4.97,4.94,4.97,4.97,4.95,4.9,,1.0,1.0,0.0,0,2.21
